PaymentID,CharacterID,Payment,PayDate
1,2.0,500.0,2021-07-07
2,2.0,200.0,2021-07-09
3,2.0,300.0,2021-07-14
4,2.0,300.0,2021-08-13
5,2.0,200.0,2021-08-17
6,7.0,200.0,2021-08-22
7,2.0,500.0,2021-08-27
8,1.0,400.0,2021-08-28
9,1.0,300.0,2021-09-08
10,13.0,100.0,2021-09-12
11,3.0,100.0,2021-09-13
12,9.0,200.0,2021-09-14
13,2.0,400.0,2021-09-14
14,9.0,500.0,2021-09-18
15,2.0,400.0,2021-09-19
16,9.0,300.0,2021-09-21
17,10.0,500.0,2021-09-23
18,2.0,100.0,2021-10-02
19,14.0,400.0,2021-10-03
20,13.0,300.0,2021-10-03
21,3.0,300.0,2021-10-05
22,15.0,100.0,2021-10-09
23,7.0,500.0,2021-10-09
24,3.0,500.0,2021-10-10
25,1.0,100.0,2021-10-10
26,11.0,200.0,2021-10-11
27,16.0,300.0,2021-10-13
28,11.0,200.0,2021-10-14
29,11.0,500.0,2021-10-14
30,3.0,200.0,2021-10-15
31,11.0,400.0,2021-10-15
32,2.0,400.0,2021-10-16
33,9.0,500.0,2021-10-17
34,11.0,100.0,2021-10-20
35,2.0,200.0,2021-10-23
36,1.0,200.0,2021-10-26
37,7.0,200.0,2021-10-28
38,2.0,500.0,2021-10-31
39,7.0,200.0,2021-11-02
40,1.0,400.0,2021-11-06
41,15.0,300.0,2021-11-06
42,13.0,500.0,2021-11-08
43,3.0,200.0,2021-11-08
44,9.0,300.0,2021-11-11
45,3.0,200.0,2021-11-12
46,10.0,100.0,2021-11-14
47,17.0,200.0,2021-11-17
48,3.0,300.0,2021-11-22
49,17.0,300.0,2021-11-24
50,10.0,100.0,2021-11-27
51,9.0,400.0,2021-11-29
52,4.0,300.0,2021-12-02
